iter	RMSE
721	5.442326005
722	5.442088851
723	5.44192392
724	5.441667209
725	5.440991969
726	5.438274322
727	5.438005639
728	5.43728178
729	5.436049481
730	5.435776895
731	5.435361143
732	5.435177131
733	5.434444085
734	5.43384141
735	5.433676377
736	5.433293062
737	5.43284545
738	5.432637845
739	5.432310201
740	5.431723249
741	5.431352284
742	5.431080057
743	5.430642372
744	5.430242994
745	5.429871527
746	5.428529273
747	5.4269663
748	5.425780643
749	5.425403361
750	5.425165138
751	5.424475221
752	5.424153932
753	5.42050455
754	5.42029703
755	5.420095938
756	5.415997417
757	5.415867679
758	5.415541831
759	5.415363103
760	5.415206232
761	5.414955309
762	5.41467981
763	5.413515477
764	5.413388848
765	5.4128117
766	5.412573712
767	5.411129049
768	5.409622001
769	5.409332119
770	5.408260146
771	5.408004024
772	5.400641869
773	5.400003872
774	5.399058249
775	5.398812918
776	5.398477528
777	5.398373756
778	5.398198919
779	5.397516349
780	5.395855509
781	5.394548649
782	5.394323695
783	5.393955217
784	5.393800812
785	5.393053168
786	5.392784039
787	5.391700543
788	5.391359083
789	5.389168739
790	5.38794632
791	5.38680144
792	5.385935422
793	5.385659805
794	5.38551173
795	5.358014199
796	5.357686841
797	5.35726837
798	5.357124734
799	5.35690497
800	5.356710876
801	5.355774184
802	5.354336314
803	5.353291348
804	5.352312645
805	5.349913894
806	5.349449187
807	5.348163833
808	5.347420416
809	5.346389791
810	5.346149564
811	5.345467369
812	5.344656539
813	5.343296634
814	5.342156265
815	5.341946655
816	5.331324299
817	5.331144248
818	5.330994248
819	5.330418279
820	5.330153329
821	5.329930162
822	5.329704482
823	5.329374269
824	5.32919296
825	5.329087622
826	5.328911345
827	5.328681686
828	5.32644575
829	5.32625013
830	5.32359455
831	5.323151278
832	5.322829937
833	5.321726169
834	5.321585646
835	5.320895391
836	5.320660776
837	5.320439938
838	5.319663736
839	5.319307895
840	5.316472351
841	5.315534997
842	5.315220789
843	5.314974008
844	5.314847653
845	5.314781105
846	5.314088298
847	5.313878967
848	5.312134003
849	5.31181311
850	5.311498854
851	5.310839748
852	5.310569781
853	5.310435413
854	5.309866928
855	5.309751905
856	5.309217846
857	5.308642584
858	5.308323537
859	5.308132385
860	5.307831096
861	5.307704459
862	5.296724883
863	5.295872758
864	5.293585748
865	5.291706844
866	5.289468675
867	5.288984182
868	5.288695687
869	5.288442847
870	5.288276535
871	5.287705272
872	5.28741286
873	5.287216639
874	5.287093511
875	5.28692005
876	5.286261255
877	5.285966206
878	5.285830905
879	5.284271061
880	5.283502233
881	5.28303203
882	5.28276539
883	5.282566988
884	5.282103888
885	5.280968442
886	5.280702385
887	5.280504788
888	5.278569287
889	5.277527329
890	5.277029728
891	5.276865389
892	5.276210409
893	5.275412484
894	5.275312051
895	5.27401132
896	5.273043536
897	5.27284257
898	5.271933644
899	5.271607192
900	5.271333339
901	5.270529791
902	5.269850917
903	5.269555149
904	5.269023979
905	5.268802028
906	5.268528851
907	5.268203963
908	5.267403717
909	5.266858102
910	5.265597133
911	5.262714382
912	5.262276043
913	5.262106973
914	5.261863115
915	5.261715073
916	5.2615267
917	5.261265087
918	5.261012805
919	5.260911874
920	5.260676538
921	5.260074592
922	5.259834058
923	5.259521884
924	5.257894532
925	5.257022423
926	5.256645496
927	5.256428496
928	5.256277179
929	5.255258085
930	5.254679903
931	5.254435476
932	5.2540111
933	5.25332885
934	5.252954958
935	5.250645444
936	5.250104911
937	5.249891972
938	5.249521575
939	5.248073321
940	5.246407615
941	5.246318385
942	5.245993942
943	5.245635669
944	5.245275417
945	5.245167853
946	5.244388634
947	5.244197523
948	5.244054675
949	5.24398116
950	5.243093218
951	5.242812729
952	5.242676104
953	5.233744904
954	5.231884463
955	5.231652081
956	5.227856505
957	5.227539478
958	5.227348726
959	5.227196054
960	5.226511308
961	5.226116475
962	5.225912392
963	5.22578961
964	5.224024314
965	5.223805237
966	5.221440899
967	5.221329095
968	5.220936714
969	5.220196267
970	5.219958364
971	5.219812548
972	5.21956684
973	5.21884547
974	5.21874487
975	5.21829284
976	5.21805574
977	5.217841516
978	5.217706546
979	5.217603188
980	5.217487916
981	5.217032687
982	5.216805616
983	5.216358205
984	5.216070596
985	5.215571338
986	5.215009273
987	5.213801096
988	5.213152029
989	5.212751335
990	5.212290825
991	5.212142724
992	5.211902462
993	5.211475983
994	5.21125038
995	5.210828801
996	5.210103127
997	5.209824164
998	5.209725326
999	5.209536914
